# title: Greenland Ice Sheet Gravimetric Mass Balance Gridded Product
# institution: TU Dresden, Chair of Geodetic Earth System Research
# project: Greenland_Ice_Sheet
# source: GRACE/GRACE-FO monthly solutions provided by Center for Space Research (CSR RL06)
# summary: GRACE/GRACE-FO-derived time series of basin-averaged Greenland ice mass changes with respect to the mass as of 2011-01-01 according to a linear, periodic (periods: 1 year, 1/2 year, 161 days) and quadratic model fitted to the monthly solutions in the period 2002-08 - 2016-08
# error_estimates: Provided error estimates solely account for the white noise component. Systematic errors (e.g. errors in the GIA correction) are included in the error estimates of the derived linear trends.
# gia_model: Caron et al. (2018) (http://doi.org/10.1002/2017GL076644)
# regions: Regions 1-8: drainage basins according to Zwally et al. (2012, http://icesat4.gsfc.nasa.gov/cryo_data/ant_grn_drainage_systems.php), 9: Greenland Ice Sheet
# time_coverage_start: 2002-04
# time_coverage_end: 2021-06
# product_version: 3.4
# date_created: 2021-09-06
# contact: martin.horwath@tu-dresden.de
#
# regions: GIS01 GIS02 GIS03 GIS04 GIS05 GIS06 GIS07 GIS08 GIS09 
# time [decimal year], time [modified julian date], dm region1 [kg], sigma dm region1 [kg], ...
2002.293 52382.0  1.8446e+14  7.4930e+12  7.0146e+13  9.8886e+12  4.3469e+14  1.7649e+13  3.4702e+14  1.8481e+13  1.6753e+14  8.2852e+12  2.4372e+14  1.9500e+13  2.2278e+14  1.2431e+13  3.7618e+14  9.3015e+12  2.0465e+15  4.5556e+13
2002.355 52404.5  1.8674e+14  7.4930e+12  8.1113e+13  9.8886e+12  4.1689e+14  1.7649e+13  3.4750e+14  1.8481e+13  1.8247e+14  8.2852e+12  2.3670e+14  1.9500e+13  2.3653e+14  1.2431e+13  3.9726e+14  9.3015e+12  2.0852e+15  4.5556e+13
2002.623 52502.5  1.6012e+14  7.4930e+12  4.1388e+13  9.8886e+12  3.2382e+14  1.7649e+13  2.9272e+14  1.8481e+13  1.5727e+14  8.2852e+12  2.0325e+14  1.9500e+13  2.0910e+14  1.2431e+13  3.6892e+14  9.3015e+12  1.7566e+15  4.5556e+13
2002.706 52533.0  1.3250e+14  7.4930e+12  6.6599e+13  9.8886e+12  3.2337e+14  1.7649e+13  2.6473e+14  1.8481e+13  1.6229e+14  8.2852e+12  2.0764e+14  1.9500e+13  1.9615e+14  1.2431e+13  3.3731e+14  9.3015e+12  1.6906e+15  4.5556e+13
2002.790 52563.5  1.5505e+14  7.4930e+12  4.7952e+13  9.8886e+12  3.9547e+14  1.7649e+13  2.8613e+14  1.8481e+13  1.5482e+14  8.2852e+12  2.2187e+14  1.9500e+13  1.8761e+14  1.2431e+13  3.5878e+14  9.3015e+12  1.8077e+15  4.5556e+13
2002.873 52594.0  1.6840e+14  7.4930e+12  5.8970e+13  9.8886e+12  3.6842e+14  1.7649e+13  2.6294e+14  1.8481e+13  1.5844e+14  8.2852e+12  2.6909e+14  1.9500e+13  2.2601e+14  1.2431e+13  3.6764e+14  9.3015e+12  1.8799e+15  4.5556e+13
2002.957 52624.5  1.6771e+14  7.4930e+12  5.7864e+13  9.8886e+12  3.7247e+14  1.7649e+13  3.5715e+14  1.8481e+13  1.6541e+14  8.2852e+12  1.9627e+14  1.9500e+13  1.9793e+14  1.2431e+13  3.5584e+14  9.3015e+12  1.8706e+15  4.5556e+13
2003.042 52655.5  1.6664e+14  7.4930e+12  5.8417e+13  9.8886e+12  3.5156e+14  1.7649e+13  3.4255e+14  1.8481e+13  1.6184e+14  8.2852e+12  2.1628e+14  1.9500e+13  2.5057e+14  1.2431e+13  3.4737e+14  9.3015e+12  1.8952e+15  4.5556e+13
2003.123 52685.0  1.5430e+14  7.4930e+12  6.6922e+13  9.8886e+12  4.0861e+14  1.7649e+13  3.7291e+14  1.8481e+13  1.7219e+14  8.2852e+12  1.9421e+14  1.9500e+13  1.7301e+14  1.2431e+13  3.3187e+14  9.3015e+12  1.8740e+15  4.5556e+13
2003.204 52714.5  1.7018e+14  7.4930e+12  3.9635e+13  9.8886e+12  4.3988e+14  1.7649e+13  3.3594e+14  1.8481e+13  1.7717e+14  8.2852e+12  2.5623e+14  1.9500e+13  2.1303e+14  1.2431e+13  3.4876e+14  9.3015e+12  1.9808e+15  4.5556e+13
2003.287 52745.0  1.6346e+14  7.4930e+12  5.8077e+13  9.8886e+12  4.3995e+14  1.7649e+13  3.8423e+14  1.8481e+13  1.9303e+14  8.2852e+12  2.3874e+14  1.9500e+13  2.1424e+14  1.2431e+13  3.3399e+14  9.3015e+12  2.0257e+15  4.5556e+13
